cip2_name,AI_RS
Mathematics and Statistics,7.40 
Multi/Interdisciplinary Studies,6.11 
"Foreign Languages, Literatures, and Linguistics",4.47 
Computer and Information Sciences and Support Services,3.78 
Social Sciences,2.09 
Engineering,1.69 
Physical Sciences,1.64 
Library Science,1.56 
Biological and Biomedical Sciences,1.27 
