common_count,discipline complementarity score
762665,0.495735324
645468,0.404918228
311926,0.348730688
309788,0.278477645
423317,0.27468247
214791,0.227866915
124977,0.208024568
277959,0.187689785
180597,0.183591002
40950,0.170696835
338,0.169763938
94814,0.161016906
152121,0.153536762
184505,0.142003824
114825,0.119139024
46627,0.110701168
145374,0.10723952
145451,0.104070342
91827,0.08759051
103927,0.078223707
87871,0.077215494
9129,0.076378605
89368,0.075825684
18676,0.073842991
20559,0.068965864
95086,0.068678945
27053,0.064506822
289,0.060296265
19475,0.059948717
79069,0.059173108
21776,0.056921641
3611,0.055511145
2438,0.052000683
15919,0.043467101
14138,0.043379542
38827,0.038750507
40594,0.038469193
10231,0.037990242
43196,0.03719679
1069,0.036937217
321,0.035950274
1308,0.035598617
10821,0.033289751
9568,0.032692111
17660,0.032552335
222,0.030637593
170,0.03058104
3361,0.030391536
18298,0.028414279
35906,0.026763945
173,0.026022864
72,0.025677603
11851,0.024103958
150,0.023288309
1303,0.021940829
6014,0.021351681
4299,0.020252986
11736,0.020018797
24810,0.019434329
499,0.019154735
116,0.018116508
178,0.017723788
6164,0.017556202
3141,0.017553174
2960,0.016995963
720,0.016936793
10071,0.016642787
642,0.016478439
3214,0.016469805
4935,0.0164152
729,0.015941744
658,0.015890649
3682,0.0157514
3859,0.015042723
1405,0.015042182
432,0.01493208
7188,0.014723957
3048,0.014309725
527,0.014279908
3933,0.014033948
5303,0.013457342
238,0.013384321
14408,0.013242988
17133,0.013141867
12513,0.012987175
12845,0.012436137
10795,0.011090586
3173,0.011027623
1056,0.010958108
165,0.010901163
14140,0.01088766
616,0.010836104
1230,0.010598514
98,0.010421097
380,0.010169129
10367,0.010028372
1281,0.009646593
2139,0.009547871
12057,0.009270116
5168,0.009256075
2133,0.009208095
1439,0.009080755
9799,0.008941395
2169,0.008910854
394,0.008635049
105,0.008597396
250,0.00855842
8211,0.00848278
1809,0.008437067
146,0.008135518
2161,0.008120855
809,0.007941416
10647,0.007770552
2089,0.007524728
50,0.007463801
197,0.007458448
41,0.007360862
213,0.007325126
7533,0.007233421
2482,0.007190306
210,0.007161614
64,0.00703606
3378,0.007026916
1348,0.007002925
792,0.006988503
1058,0.006928936
41,0.00677686
382,0.006712235
832,0.006683429
1647,0.0066637
6770,0.006566561
162,0.006556316
1476,0.00653265
798,0.006403107
1482,0.006289575
87,0.006224512
1043,0.006204456
1543,0.005975872
200,0.005930319
2971,0.005897544
1180,0.005795706
5973,0.00578999
202,0.00576188
91,0.00573879
737,0.005721295
1237,0.005717825
213,0.005654667
538,0.005620443
31,0.005609844
7347,0.005579821
521,0.005563802
5458,0.005558543
648,0.00554766
5573,0.005459781
47,0.005438556
658,0.005418581
569,0.005396229
1269,0.005369383
67,0.00536816
