common_count,discipline complementarity score
462,0.034245052
40408,0.03395014
276,0.0339108
29,0.033681765
284,0.033494516
182,0.033296744
62,0.033261803
573,0.033230876
4889,0.03321151
21790,0.033185403
71,0.033146592
2264,0.033115392
2246,0.033063448
427,0.033052094
7,0.03286385
30,0.032858708
4821,0.032785882
24,0.032742156
11,0.032738095
16,0.032520325
4473,0.032499473
5990,0.032463485
39,0.032418953
2081,0.032363416
16,0.032258065
209,0.032238161
281,0.032217381
448,0.03201372
142,0.03197478
53,0.031927711
82,0.031869413
239,0.031752358
6360,0.031746349
6,0.031746032
13,0.031707317
268,0.031652297
566,0.031558405
136,0.031466913
62,0.031456114
331,0.031323933
16,0.031311155
94,0.031156778
8603,0.031042185
15285,0.030970887
9,0.030927835
29,0.030720339
7750,0.030714722
258,0.030706975
88,0.030587417
37,0.030578512
70,0.030541012
1074,0.030383614
27,0.030337079
181,0.030308104
170,0.03030303
4,0.03030303
381,0.030266921
1715,0.030221862
214,0.030157835
6099,0.030080046
123,0.029934291
11,0.029891304
79,0.029867675
50,0.029673591
10,0.029673591
1281,0.029673384
97,0.029663609
11,0.029649596
1087,0.029643568
1077,0.029583036
3570,0.029580896
756,0.029459902
1181,0.029450637
6251,0.029414948
228,0.029392806
14853,0.029386684
11,0.029333333
94,0.029310882
5,0.029069767
389,0.028958535
640,0.028954035
165,0.028906797
1352,0.028890124
406,0.028796369
86,0.028772165
12,0.028708134
711,0.028610519
1985,0.028480422
32,0.028444444
6,0.028436019
11,0.028350515
7,0.028340081
15,0.028301887
16,0.028268551
10,0.028248588
8,0.028169014
4,0.028169014
6,0.028169014
75,0.028153153
1184,0.028114834
3,0.028037383
57,0.027982327
396,0.027946366
65,0.027885028
15,0.027881041
3,0.027777778
20,0.027777778
4,0.027777778
430,0.027542916
3,0.027522936
802,0.027419741
444,0.02732644
104,0.027318098
84,0.027281585
221,0.027213397
420,0.027014858
47,0.026980482
84,0.026948989
111,0.026844015
6111,0.026805571
114,0.026766847
5329,0.026721423
1621,0.026704227
11,0.026699029
5540,0.026664741
94,0.026636441
34,0.026624902
87,0.026589242
17091,0.026560968
89,0.026456599
954,0.026438311
90,0.026423958
89,0.026417335
551,0.026390153
31463,0.026361408
917,0.026345275
283,0.026340283
17468,0.026272726
20,0.02621232
20,0.026143791
165,0.026128266
11,0.026128266
53,0.026069848
4958,0.025986551
31514,0.025931899
95,0.025787188
111,0.0257123
19,0.025710419
4442,0.025699623
1,0.025641026
72,0.025613661
19,0.025606469
426,0.025561022
104,0.025559105
30606,0.02554065
131,0.025466563
10400,0.025410539
1169,0.025297007
15,0.02529511
586,0.025201049
448,0.02519685
898,0.025185102
131,0.025100594
53,0.025094697
69,0.025027203
311,0.02500402
16250,0.025002308
4,0.025
849,0.024971323
2409,0.024966577
14,0.024955437
9,0.024930748
129,0.024884259
167,0.024858589
5026,0.024766307
427,0.024592524
1227,0.024541963
4559,0.024512202
119,0.024505766
154,0.0244872
7,0.024475524
1157,0.024442285
267,0.024408081
12453,0.02440487
4646,0.024391396
604,0.024358768
55,0.024347056
420,0.024284475
627,0.024243127
306,0.024185899
353,0.02416815
53,0.024167807
15070,0.024156758
375,0.024156145
370,0.024148284
2,0.024096386
1243,0.023978086
82,0.0239696
4744,0.023957418
1741,0.023916149
421,0.023906871
505,0.023850005
4415,0.023759424
996,0.023743117
41,0.023726852
379,0.023708245
89,0.023638778
210,0.023574315
1840,0.023565272
361,0.023557818
276,0.023521391
438,0.023429978
3930,0.023390351
10734,0.023363225
3176,0.023336983
1433,0.023270164
5074,0.023180699
23,0.023138833
333,0.023021085
821,0.022990759
10,0.022988506
1106,0.022945106
3161,0.022926231
10669,0.022859726
538,0.022779236
13882,0.022744439
12,0.022727273
545,0.022710226
1519,0.022701798
10617,0.022697489
118,0.022596706
1285,0.022588244
7,0.022580645
299,0.022559227
27040,0.022553575
309,0.022544871
864,0.02253286
58,0.022524272
475,0.022522523
155,0.022421525
8,0.022408964
1294,0.022394905
340,0.022375782
51,0.022280472
95,0.022263886
3578,0.022244465
11,0.022222222
2,0.022222222
2,0.022222222
2258,0.022213915
2891,0.022172966
34,0.022106632
23,0.02209414
5883,0.022060809
8,0.022038567
3414,0.022024954
4,0.021978022
1639,0.021973455
110,0.021956088
4053,0.021931581
5,0.021929825
75,0.021853147
1052,0.021801753
30,0.021786492
12,0.021778584
2771,0.02174476
39,0.02173913
2,0.02173913
6,0.02166065
26,0.021630616
21,0.021538462
10,0.021505376
376,0.021483259
10185,0.021472166
40,0.021424746
402,0.021417155
7,0.021406728
2113,0.021376254
13741,0.021362133
17,0.021356784
3753,0.021354682
5,0.021276596
5,0.021276596
28,0.02118003
23,0.021139706
320,0.021104003
344,0.02107714
154,0.021044001
425,0.021018793
12,0.021015762
144,0.020954598
23,0.0208901
1999,0.020874015
4936,0.020867859
9472,0.020861506
18,0.020761246
6,0.020761246
66,0.020728643
187,0.020713336
12,0.020689655
1783,0.020682295
3673,0.020673507
2262,0.020587593
8,0.020565553
17,0.020556227
4,0.020512821
991,0.020439733
1,0.020408163
1362,0.020380374
1151,0.020332097
50,0.020259319
1735,0.020228518
55,0.020220588
3311,0.020214786
8,0.02020202
388,0.02017366
49,0.020172911
12335,0.020164949
6,0.020134228
2559,0.020096911
8120,0.020090407
49,0.020032706
9341,0.019946062
81,0.019936008
750,0.019865971
967,0.019850964
81,0.019756098
377,0.019723763
473,0.019722303
222,0.019682596
10,0.019607843
3786,0.0195573
7,0.019553073
8906,0.019550939
6557,0.019542683
2611,0.019527481
8,0.01946472
612,0.019436593
2,0.019417476
125,0.019352841
6,0.019292605
720,0.01928847
266,0.019285145
46,0.019271052
65,0.019270679
4,0.019230769
160,0.019184652
89,0.019160388
1087,0.019126885
21,0.01910828
11887,0.019080839
136,0.01903429
5,0.019011407
3,0.018987342
57,0.0189747
1456,0.018886525
2,0.018867925
8732,0.018846463
68,0.018836565
418,0.018743554
1124,0.018736456
142,0.018731038
248,0.018726875
60,0.018720749
68,0.01870187
2,0.018691589
1525,0.018688725
8228,0.01860423
3126,0.018550167
1170,0.018463578
1045,0.018445625
35,0.018440464
141,0.018388106
4,0.018348624
2130,0.018346885
562,0.018334856
3319,0.01827774
110,0.018233052
2025,0.018196686
2,0.018181818
425,0.018172489
310,0.018156261
25,0.01815541
43,0.018151119
1773,0.018055541
20,0.018050542
66,0.018027861
132,0.018020478
3,0.017964072
3,0.017964072
39,0.017955801
6913,0.017942143
1022,0.017926994
20,0.017921147
1557,0.017895729
119,0.017878606
2,0.017857143
40,0.017841213
31,0.017816092
7,0.017766497
36,0.017760237
6,0.017751479
335,0.017731435
49,0.017670393
335,0.017661324
3,0.017647059
35,0.017632242
7,0.017632242
5,0.017605634
28,0.017576899
2687,0.017576451
18,0.017560976
1429,0.017551833
742,0.017491337
11,0.017460317
71,0.017444717
705,0.017419881
4,0.017391304
11,0.017377567
27,0.017374517
1406,0.017361454
945,0.017281422
2608,0.017272553
2323,0.017135312
3,0.017045455
28,0.017021277
20411,0.016994933
2214,0.016961098
44,0.016936105
55,0.016923077
87,0.016916197
48,0.016877637
4,0.016877637
98,0.01686747
2077,0.016865063
300,0.016863406
298,0.016820003
2,0.016806723
78,0.016803102
204,0.016785979
584,0.016785468
328,0.016741527
10,0.016694491
69,0.01668682
16,0.016666667
4,0.016666667
2,0.016666667
6,0.016574586
422,0.016562659
254,0.016502079
55,0.01650165
8,0.016494845
2856,0.016444887
685,0.016405614
4,0.016393443
649,0.016380202
305,0.016364417
41,0.016347687
235,0.016339869
98,0.016306156
218,0.0162723
14,0.016260163
11,0.016248154
20,0.016246954
934,0.016199247
1462,0.016180263
23,0.016174402
570,0.016168378
2843,0.016156071
1395,0.016153125
1047,0.016098776
1914,0.016097832
473,0.016079138
248,0.016078838
9,0.016071429
651,0.016055838
7,0.016055046
71,0.016023471
7,0.016018307
312,0.016002462
46,0.015994437
6372,0.015978495
2201,0.015942113
89,0.015921288
322,0.015915382
162,0.01589326
211,0.015888554
26,0.015873016
2,0.015873016
6234,0.015838656
212,0.015830346
119,0.015824468
2633,0.015815144
7,0.015801354
550,0.015788265
108,0.015784858
335,0.015763222
21,0.015753938
10,0.015748031
8,0.015748031
11,0.015714286
7,0.015695067
3,0.015625
6,0.015584416
4,0.015564202
2635,0.015560503
56,0.015533981
220,0.015519187
2095,0.015495562
6681,0.015479682
635,0.015469317
3372,0.015464556
6,0.015463918
739,0.015447324
210,0.015445719
1003,0.015396187
3,0.015384615
3,0.015384615
1269,0.015374923
337,0.015371984
230,0.015367141
16,0.015340364
3057,0.015328994
678,0.015328962
4,0.01532567
6,0.015306122
411,0.01526349
969,0.015262967
7,0.015250545
14,0.015217391
645,0.015189337
864,0.015152578
849,0.015150974
63,0.01512605
308,0.015120275
22,0.015120275
108,0.01509856
638,0.015048589
94,0.015042407
5,0.015015015
60,0.015007504
396,0.015001705
2219,0.014993547
2460,0.014967327
7,0.014957265
294,0.014955743
1606,0.01494301
69,0.01487069
7125,0.01485455
474,0.01479724
2561,0.014715938
231,0.014711502
3,0.014705882
1270,0.014690233
96,0.014674411
11,0.014666667
48,0.014643075
833,0.014618138
266,0.014600143
2,0.01459854
219,0.014546662
408,0.01451131
339,0.014484703
22,0.014473684
36,0.014434643
7,0.01443299
257,0.014347923
126,0.014327951
1088,0.014324648
169,0.014324462
1236,0.014324456
16925,0.014314385
9033,0.014311494
11,0.014304291
48,0.014285714
76,0.014280346
6,0.014251781
224,0.014251177
33,0.014248705
11,0.014230272
7,0.014198783
86,0.014177382
16739,0.014164503
9,0.014150943
16909,0.014148429
103,0.014096072
58,0.014084507
23,0.014084507
552,0.014077682
450,0.014065577
7,0.014056225
305,0.014041064
2182,0.014030891
3988,0.014027534
6,0.013986014
42,0.013967409
60,0.01394376
274,0.013917814
7,0.013916501
1,0.013888889
24,0.013856813
237,0.013835377
853,0.013829666
220,0.013800891
25,0.013774105
1870,0.013765284
7,0.013752456
1982,0.013696548
6529,0.013696274
199,0.013683559
2646,0.013679155
482,0.013646659
30,0.013593113
50,0.01359065
463,0.013583289
4,0.013559322
96,0.013557407
7,0.013487476
6,0.013483146
209,0.013466495
15978,0.013442027
9,0.013392857
12,0.013377926
13,0.01336074
7795,0.013331213
2022,0.013314106
5730,0.013299107
4,0.013289037
1645,0.013262706
60,0.013259669
9,0.013254786
5881,0.013235569
49,0.013228942
1926,0.013212233
151,0.013205072
39,0.01319797
167,0.013180742
3064,0.013178098
3,0.013157895
2,0.013157895
211,0.013094204
59,0.01307914
5234,0.01307869
196,0.013065796
21,0.013011152
134,0.012989531
5983,0.012987746
2,0.012987013
362,0.012957726
62,0.012957158
88,0.01294308
8451,0.012940261
2,0.012903226
287,0.012902936
33,0.012900704
239,0.012881319
26,0.012877662
8,0.012861736
87,0.012848914
1,0.012820513
5197,0.012806675
18,0.012784091
210,0.0127745
7,0.012773723
1822,0.012772162
3,0.012765957
12,0.012765957
1258,0.012765353
48,0.012762563
21,0.012750455
7,0.012750455
2,0.012738854
15169,0.012728608
41,0.012725016
51,0.012721377
69,0.012721239
22,0.012716763
391,0.012689449
794,0.012679655
34,0.012653517
1139,0.012649933
26,0.012639767
23,0.012637363
27,0.012628625
54,0.012625672
9,0.012622721
188,0.012606451
461,0.012598382
38,0.01259112
196,0.01258427
4,0.012578616
6,0.012552301
11,0.012542759
7705,0.012537303
212,0.012531032
343,0.012518248
48,0.012513034
30,0.012510425
5776,0.012505359
6294,0.012482845
60,0.012445551
52,0.012434242
2166,0.012434055
1210,0.012414331
168,0.012354758
1,0.012345679
1380,0.01231637
179,0.012304097
3,0.012295082
36,0.012286689
306,0.012271415
7029,0.012268664
122,0.012255148
3,0.012244898
85,0.012237259
4,0.012232416
8,0.012232416
109,0.012226584
174,0.012213955
68,0.012212644
66,0.012206399
168,0.012195122
42,0.012195122
13,0.012172285
70,0.012150668
1120,0.012144871
2,0.012121212
4,0.012121212
12,0.012108981
184,0.012103671
92,0.012087768
31,0.01208106
33,0.012061404
68,0.01200989
26,0.012009238
41,0.011998829
2525,0.011982896
42,0.011976048
12,0.011964108
2029,0.011944006
43,0.011934499
821,0.011927245
52,0.011923871
1,0.011904762
6,0.011881188
520,0.011873773
178,0.011860341
1842,0.011839188
50,0.011795235
191,0.011775586
3023,0.011763973
1139,0.011754629
98,0.011749191
65,0.011741329
64,0.01171732
180,0.011716462
20,0.011709602
64,0.011708745
6,0.011673152
993,0.011668625
466,0.011652039
1382,0.011619499
2483,0.011614201
4,0.011594203
2559,0.011589779
99,0.011573533
2,0.011560694
1055,0.011547091
2522,0.01152556
531,0.011517189
42,0.01147541
1721,0.011465002
144,0.011455847
314,0.01143648
4,0.011428571
2,0.011428571
28,0.011405295
183,0.011404001
207,0.011401818
10,0.011376564
13527,0.011368956
12,0.011352886
344,0.011348266
41,0.011335361
165,0.011328527
458,0.011299993
22,0.011293634
78,0.011276565
489,0.011264945
91,0.011242896
4,0.011235955
20,0.011229646
3659,0.011228783
454,0.011223733
4497,0.011196204
7,0.011164274
4,0.011142061
3,0.011111111
3,0.011111111
5,0.011086475
3,0.011070111
61,0.011066763
34,0.011056911
3,0.011029412
52,0.011023956
182,0.011018283
73,0.011017205
1039,0.011000064
34,0.010999676
2,0.010989011
6,0.010968921
5,0.010964912
5,0.010964912
155,0.010957936
38,0.010951009
2069,0.01093783
7,0.0109375
8,0.010928962
4229,0.010926011
1685,0.010925596
41,0.010924594
36,0.010876133
18,0.010869565
148,0.010866373
8,0.010854817
775,0.010845532
21,0.010841507
7,0.010835913
3,0.010830325
141,0.010817861
300,0.010815098
337,0.010814106
6,0.010810811
72,0.010809188
1576,0.010804807
315,0.010796545
427,0.010796187
453,0.010794453
301,0.010779258
7,0.010769231
10,0.010764263
4,0.010752688
83,0.010749903
2309,0.010743782
832,0.010731191
70,0.010703364
38,0.010695187
190,0.010681358
697,0.010680519
59,0.010657514
1,0.010638298
36,0.010616337
39,0.010612245
2,0.010582011
2215,0.010563515
7,0.010558069
1208,0.010552615
65,0.01054168
983,0.010527781
1,0.010526316
3,0.010526316
2,0.010526316
103,0.010523089
854,0.010516723
597,0.010516303
6908,0.010505042
4106,0.010492557
79,0.010491368
12402,0.010464931
46,0.010435572
123,0.010430801
24,0.010416667
65,0.010414998
2803,0.010412178
88,0.010405581
1513,0.010400841
138,0.01039783
406,0.010394797
585,0.010389657
197,0.010388652
8,0.010376135
12342,0.010374611
944,0.010362353
13,0.010358566
724,0.010356765
1192,0.010315345
8,0.010309278
1,0.010309278
3,0.010309278
833,0.010287761
266,0.010283373
12163,0.010261425
185,0.010243065
3,0.010238908
46,0.010238148
49,0.010231781
752,0.010230457
5,0.010224949
186,0.010224836
190,0.010223848
51,0.010220441
2241,0.01021315
